"","Name","Class","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"106","Malzahar","Mage","MID","B",47.14,"-0.82","52.67%","88.94%","1.77%","0.54%",2.42,"13_24"
"107","Maokai","Tank","SUPPORT","S",53.59,"+3.69","54.26%","36.19%","1.89%","0.58%",2.35,"13_24"
"108","Maokai","Tank","TOP","A",53.07,"+7.74","53.56%","22.21%","1.17%","0.57%",2.6,"13_24"
"109","Maokai","Tank","JUNGLE","A",48.91,"-3.06","50.57%","43.57%","2.28%","0.57%",2.94,"13_24"
"110","Master Yi","Assassin","JUNGLE","B",46.55,"-4.23","49.67%","89.12%","4.04%","2.96%",2.15,"13_24"
"111","Milio","Support","SUPPORT","S",58.82,"+9.79","50.16%","99.92%","6.78%","1.43%",3.52,"13_24"
"112","Miss Fortune","Marksman","SUPPORT","D",36.32,"+2.14","45.45%","17.58%","0.71%","0.72%",1.87,"13_24"
"113","Miss Fortune","Marksman","ADC","D",35.8,"-7.66","46.18%","80.56%","4.29%","0.72%",2.33,"13_24"
"114","Mordekaiser","Fighter","TOP","C",42.6,"-0.04","48.31%","88.80%","2.35%","0.58%",1.79,"13_24"
"115","Morgana","Mage","SUPPORT","A",48.65,"-0.54","48.78%","82.65%","4.01%","8.60%",2.27,"13_24"
"116","Naafiri","Assassin","MID","C",43.37,"+1.06","52.59%","77.92%","0.91%","1.76%",2.19,"13_24"
"117","Naafiri","Assassin","TOP","D",38.51,"-4.20","49.01%","13.36%","0.14%","1.65%",1.88,"13_24"
"118","Nami","Support","SUPPORT","A",49.79,"+2.12","49.64%","99.78%","2.56%","0.12%",3.04,"13_24"
"119","Nasus","Fighter","TOP","B",47.55,"-1.97","49.27%","90.00%","3.62%","2.29%",1.76,"13_24"
"120","Nautilus","Tank","SUPPORT","God",63.59,"-1.58","48.56%","99.00%","12.30%","17.01%",2.2,"13_24"
"121","Neeko","Mage","MID","S",59.84,"+2.73","53.81%","52.96%","4.37%","10.67%",2.72,"13_24"
"122","Neeko","Mage","SUPPORT","A",48.47,"+0.40","50.09%","41.63%","3.21%","10.67%",2.02,"13_24"
"123","Nidalee","Assassin","JUNGLE","S",59.53,"+3.23","51.24%","97.06%","8.53%","12.69%",3.2,"13_24"
"124","Nilah","Marksman","ADC","C",40.09,"+1.41","51.61%","98.27%","1.17%","1.31%",2.2,"13_24"
"125","Nocturne","Assassin","JUNGLE","S",57.37,"-1.02","50.63%","98.21%","8.84%","14.77%",2.74,"13_24"
"126","Nunu","Tank","JUNGLE","A",48.83,"+1.59","50.67%","69.49%","2.13%","0.69%",2.92,"13_24"
"127","Nunu","Tank","MID","B",43.48,"-0.50","51.36%","25.67%","0.85%","0.69%",2.7,"13_24"
"128","Olaf","Fighter","TOP","A",49.75,"-0.94","52.90%","90.61%","2.09%","1.17%",1.75,"13_24"
"129","Orianna","Mage","MID","God",91.16,"+1.56","50.19%","98.27%","13.51%","26.04%",2.61,"13_24"
"130","Ornn","Tank","TOP","A",51.92,"-0.99","50.70%","92.54%","2.61%","0.23%",2.63,"13_24"
"131","Pantheon","Fighter","TOP","B",43.65,"-0.28","49.02%","33.54%","1.82%","1.36%",2,"13_24"
"132","Pantheon","Fighter","MID","C",43.01,"-3.00","50.67%","36.83%","1.84%","1.29%",2.3,"13_24"
"133","Pantheon","Fighter","SUPPORT","D",39.47,"+3.07","46.98%","23.69%","1.37%","1.33%",1.79,"13_24"
"134","Poppy","Tank","JUNGLE","S",53.99,"+0.86","52.20%","60.52%","4.48%","9.22%",2.81,"13_24"
"135","Poppy","Tank","TOP","S",53.8,"-6.52","52.93%","30.93%","2.25%","9.55%",2.31,"13_24"
"136","Pyke","Support","SUPPORT","S",59.79,"+3.50","50.48%","98.05%","8.41%","16.26%",2.26,"13_24"
"137","Qiyana","Assassin","MID","B",48.09,"+4.59","53.05%","67.91%","1.90%","0.49%",2.39,"13_24"
"138","Qiyana","Assassin","JUNGLE","B",45.79,"+3.10","50.54%","27.72%","0.59%","0.49%",2.63,"13_24"
"139","Quinn","Marksman","TOP","B",46.62,"-4.44","51.28%","87.73%","1.56%","1.85%",1.95,"13_24"
"140","Rakan","Support","SUPPORT","God",73.29,"-2.97","52.10%","99.74%","13.85%","11.89%",2.95,"13_24"
"141","Rammus","Tank","JUNGLE","A",52.31,"-1.21","51.42%","91.75%","2.98%","4.23%",3.23,"13_24"
"142","Rek'Sai","Fighter","JUNGLE","A",50.91,"-0.40","52.08%","96.89%","2.07%","2.04%",2.88,"13_24"
"143","Rell","Tank","SUPPORT","S",56.41,"-0.86","51.37%","86.86%","5.45%","4.54%",2.79,"13_24"
"144","Rell","Tank","JUNGLE","B",46.06,"+1.13","48.86%","12.09%","0.68%","4.59%",3.39,"13_24"
"145","Renata Glasc","Support","SUPPORT","S",54.45,"-0.45","50.70%","99.86%","5.00%","2.99%",2.77,"13_24"
"146","Renekton","Fighter","TOP","S",55.17,"+3.60","50.54%","84.64%","5.06%","4.61%",1.99,"13_24"
"147","Renekton","Fighter","MID","C",40.49,"-5.38","51.24%","15.01%","0.82%","4.55%",2.16,"13_24"
"148","Rengar","Assassin","TOP","A",49.97,"-1.35","51.94%","59.09%","1.93%","2.10%",2.17,"13_24"
"149","Rengar","Assassin","JUNGLE","C",41.05,"-3.64","47.80%","33.11%","1.10%","2.10%",2.39,"13_24"
"150","Riven","Fighter","TOP","A",53.25,"-1.14","50.88%","89.75%","4.51%","0.92%",1.88,"13_24"
"151","Rumble","Fighter","TOP","S",57.66,"+6.03","50.71%","69.11%","4.94%","9.85%",2.22,"13_24"
"152","Rumble","Fighter","JUNGLE","B",47.52,"+0.07","50.78%","13.24%","0.87%","8.70%",2.88,"13_24"
"153","Rumble","Fighter","MID","B",44.69,"-3.85","51.60%","16.95%","1.05%","8.70%",2.68,"13_24"
"154","Ryze","Mage","TOP","D",38.84,"-1.46","48.34%","38.30%","0.70%","0.16%",1.89,"13_24"
"155","Ryze","Mage","MID","D",37.66,"-2.45","49.19%","60.51%","1.09%","0.16%",2.23,"13_24"
"156","Samira","Marksman","ADC","A",49.97,"+4.19","49.98%","99.64%","8.37%","13.44%",2.33,"13_24"
"157","Sejuani","Tank","JUNGLE","B",47.37,"-0.31","48.86%","86.98%","2.23%","0.16%",3.28,"13_24"
"158","Sejuani","Tank","TOP","C",42.05,"999NEW","49.40%","10.12%","0.26%","0.15%",2.35,"13_24"
"159","Senna","Marksman","SUPPORT","S",58.46,"-1.42","50.29%","95.79%","8.51%","6.49%",2.41,"13_24"
"160","Seraphine","Mage","ADC","B",45.3,"+1.64","53.37%","16.91%","0.32%","0.15%",2.83,"13_24"
"161","Seraphine","Mage","SUPPORT","C",42.67,"-0.92","47.34%","78.93%","1.77%","0.15%",2.38,"13_24"
"162","Sett","Fighter","TOP","C",41.49,"-6.93","47.49%","74.46%","2.90%","0.62%",1.59,"13_24"
"163","Sett","Fighter","MID","D",37.47,"-7.92","50.95%","11.76%","0.44%","0.61%",1.91,"13_24"
"164","Sett","Fighter","SUPPORT","D",31.17,"999NEW","42.64%","10.27%","0.35%","0.61%",1.81,"13_24"
"165","Shaco","Assassin","JUNGLE","A",52.33,"-0.17","50.51%","70.63%","4.30%","25.44%",2.8,"13_24"
"166","Shaco","Assassin","SUPPORT","B",48.4,"+0.04","50.70%","25.15%","1.55%","26.06%",2.36,"13_24"
"167","Shen","Tank","TOP","S",54.38,"+4.13","52.56%","78.64%","1.46%","0.10%",3.04,"13_24"
"168","Shen","Tank","SUPPORT","C",41.56,"-2.40","47.53%","16.24%","0.31%","0.11%",2.61,"13_24"
"169","Shyvana","Fighter","JUNGLE","C",41.35,"+0.43","48.30%","61.35%","0.83%","0.12%",2.34,"13_24"
"170","Shyvana","Fighter","TOP","C",40.49,"+1.87","50.66%","35.52%","0.40%","0.12%",1.58,"13_24"
"171","Singed","Tank","MID","A",51.54,"-5.68","54.31%","27.60%","0.83%","0.56%",3.21,"13_24"
"172","Singed","Tank","TOP","A",49.95,"-3.24","52.08%","64.71%","1.75%","0.57%",2.23,"13_24"
"173","Sion","Tank","TOP","C",41.76,"-3.87","48.71%","81.29%","2.05%","0.15%",1.66,"13_24"
"174","Sivir","Marksman","ADC","C",41.41,"-1.44","49.89%","98.04%","2.94%","1.09%",2.53,"13_24"
"175","Skarner","Fighter","JUNGLE","C",43.29,"-0.63","49.25%","51.12%","0.31%","0.07%",2.6,"13_24"
