Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA,Patch
Neeko,Mage,TOP,C,39.56,3.43,0.5039,0.1113,0.0019,0.0050,1.93,13_7
Neeko,Mage,SUPPORT,D,35.03,-10.98,0.4916,0.2409,0.0055,0.0050,1.98,13_7
Nidalee,Assassin,JUNGLE,B,46.61,2.17,0.4869,0.8930,0.0390,0.0323,2.86,13_7
Nilah,Marksman,ADC,C,41.76,4.47,0.5323,0.9581,0.0304,0.0435,2.27,13_7
Nocturne,Assassin,JUNGLE,S,57.75,1.07,0.5211,0.9407,0.0518,0.0444,2.66,13_7
Nunu,Tank,JUNGLE,B,47.5,-0.45,0.4942,0.9174,0.0404,0.0142,2.73,13_7
Olaf,Fighter,TOP,A,53.33,-6.9,0.5120,0.8577,0.0363,0.0622,1.81,13_7
Olaf,Fighter,JUNGLE,D,31.3,-4.37,0.4917,0.1179,0.0044,0.0622,2.25,13_7
Orianna,Mage,MID,B,47.18,-2.6,0.5015,0.9209,0.0230,0.0019,2.75,13_7
Ornn,Tank,TOP,A,52.04,-1.27,0.4961,0.9238,0.0347,0.0056,2.36,13_7
Pantheon,Fighter,TOP,A,53.59,1.25,0.5147,0.3308,0.0323,0.0503,2.07,13_7
Pantheon,Fighter,MID,A,53.33,-1.14,0.5186,0.3560,0.0357,0.0503,2.33,13_7
Pantheon,Fighter,SUPPORT,D,36.9,-4.5,0.4773,0.2056,0.0216,0.0503,1.92,13_7
Poppy,Tank,TOP,B,43.65,0.53,0.5000,0.4578,0.0128,0.0076,2.1,13_7
Poppy,Tank,JUNGLE,D,36.26,-5.49,0.4899,0.4365,0.0123,0.0076,2.72,13_7
Pyke,Support,SUPPORT,S,60.83,9.41,0.4960,0.9538,0.0784,0.1340,2.17,13_7
Qiyana,Assassin,MID,B,43.59,-0.35,0.4854,0.8231,0.0306,0.0124,2.07,13_7
Qiyana,Assassin,JUNGLE,D,21.56,-5.04,0.4459,0.1242,0.0044,0.0124,2.26,13_7
Quinn,Marksman,TOP,B,43.74,0.03,0.5080,0.7576,0.0115,0.0066,1.93,13_7
Quinn,Marksman,MID,C,39.24,-1.64,0.5155,0.1210,0.0017,0.0068,2.18,13_7
Rakan,Support,SUPPORT,God,76.01,14.42,0.5261,0.9896,0.1051,0.0497,2.95,13_7
Rammus,Tank,JUNGLE,A,49.98,-5.15,0.5148,0.7759,0.0276,0.0885,3.07,13_7
Rammus,Tank,TOP,C,39.27,-2.1,0.5045,0.1918,0.0057,0.0922,1.57,13_7
Rek'Sai,Fighter,JUNGLE,C,38.24,-2.7,0.4995,0.9490,0.0143,0.0089,2.57,13_7
Rell,Tank,SUPPORT,B,44.83,-2.35,0.5196,0.9832,0.0137,0.0028,2.48,13_7
Renata Glasc,Support,SUPPORT,B,45.2,-4.38,0.5039,0.9904,0.0225,0.0079,2.7,13_7
Renekton,Fighter,TOP,B,46.5,0.56,0.4792,0.8520,0.0361,0.0212,1.77,13_7
Renekton,Fighter,MID,C,39.21,3.72,0.5122,0.1308,0.0057,0.0212,2.01,13_7
Rengar,Assassin,JUNGLE,B,44.38,-2.03,0.4877,0.7823,0.0382,0.0762,2.36,13_7
Rengar,Assassin,TOP,C,37.99,-3.56,0.4787,0.1848,0.0097,0.0762,1.91,13_7
Riven,Fighter,TOP,S,54.84,-3.56,0.4978,0.8958,0.0484,0.0206,1.87,13_7
Rumble,Fighter,MID,B,43.76,-1.28,0.5092,0.4075,0.0131,0.0141,2.48,13_7
Rumble,Fighter,TOP,B,42.95,0.99,0.4930,0.4702,0.0145,0.0141,2.08,13_7
Ryze,Mage,TOP,C,42.35,3.79,0.5129,0.1384,0.0033,0.0033,2.05,13_7
Ryze,Mage,MID,C,40.31,-2.42,0.4837,0.8383,0.0190,0.0033,2.32,13_7
Samira,Marksman,ADC,B,47.37,-2.34,0.4979,0.9761,0.0699,0.1735,2.22,13_7
Sejuani,Tank,JUNGLE,A,51.18,-2.6,0.5030,0.8361,0.0385,0.0138,3.19,13_7
Sejuani,Tank,TOP,C,40.08,-0.86,0.4905,0.1036,0.0046,0.0143,2.29,13_7
Senna,Marksman,SUPPORT,S,67.09,8.57,0.5176,0.9294,0.0888,0.0352,2.59,13_7
Seraphine,Mage,SUPPORT,A,49.87,0.87,0.5042,0.6882,0.0419,0.0126,2.45,13_7
Seraphine,Mage,ADC,B,43.38,3.47,0.5395,0.2166,0.0105,0.0126,3.07,13_7
Sett,Fighter,TOP,S,58.62,-5.3,0.4891,0.8420,0.0639,0.0397,1.72,13_7
Shaco,Assassin,JUNGLE,S,57.78,1.29,0.4904,0.7809,0.0577,0.1760,2.68,13_7
Shaco,Assassin,SUPPORT,C,39.64,-1.74,0.4984,0.1484,0.0103,0.1760,2.27,13_7
Shen,Tank,TOP,S,62.37,-0.69,0.5150,0.8520,0.0436,0.0083,3.03,13_7
Shyvana,Fighter,JUNGLE,C,41.65,-1.22,0.5117,0.8086,0.0174,0.0041,2.53,13_7
Shyvana,Fighter,TOP,C,39.74,1.77,0.5037,0.1373,0.0023,0.0041,1.94,13_7
Singed,Tank,MID,A,51.41,-0.91,0.5582,0.1517,0.0037,0.0055,2.9,13_7
Singed,Tank,TOP,A,49.89,-0.51,0.5260,0.7478,0.0182,0.0055,2.03,13_7
Sion,Tank,TOP,God,67.28,2.7,0.5224,0.8309,0.0717,0.0330,1.75,13_7
Sivir,Marksman,ADC,C,39.61,-0.28,0.5026,0.9780,0.0429,0.0086,2.48,13_7
Skarner,Fighter,JUNGLE,C,39.31,-5.62,0.5105,0.7955,0.0081,0.0017,2.76,13_7
Skarner,Fighter,TOP,D,36.22,5.61,0.4778,0.1756,0.0015,0.0017,2.21,13_7
Sona,Support,SUPPORT,A,51.04,1.6,0.5213,0.9769,0.0285,0.0015,2.9,13_7
Soraka,Support,SUPPORT,A,53.73,2.15,0.5153,0.9575,0.0432,0.0141,2.78,13_7
Swain,Mage,SUPPORT,B,45.09,-2.63,0.4914,0.6096,0.0345,0.0288,2.35,13_7
Swain,Mage,MID,B,44.25,-3.77,0.5086,0.2278,0.0109,0.0288,2.74,13_7
Sylas,Mage,MID,S,64.76,-1,0.4947,0.5464,0.0721,0.1430,2.18,13_7
Sylas,Mage,JUNGLE,A,50.13,1.35,0.4963,0.3387,0.0437,0.1430,2.47,13_7
Syndra,Mage,MID,A,51.03,-1.15,0.4947,0.9145,0.0428,0.0231,2.3,13_7
